标题,链接,播放数
甜甜的纯音乐♡♡♡请保持一颗少女心u,664万,https://music.163.com/playlist?id=3212113629
[欧美私人订制] 最懂你的欧美推荐 每日更新35首,20108万,https://music.163.com/playlist?id=2829816518
催眠曲5分钟入睡,505万,https://music.163.com/playlist?id=3194597807
网易云比你懂我,608万,https://music.163.com/playlist?id=3134064854
【燃向】提神醒脑/高考/刷题/通宵/抖腿,695万,https://music.163.com/playlist?id=3236134881
拂过你的风，是我给你最后的温柔,563万,https://music.163.com/playlist?id=5068084101
『起床』拉窗帘/刷牙/洗脸/喝水/换衣服,655万,https://music.163.com/playlist?id=3196264232
诗情画意总是在我们平淡的日子里，直到老去,582万,https://music.163.com/playlist?id=5033911304
伤感片段|我的快乐死掉了,2917万,https://music.163.com/playlist?id=4908686291
网易云音乐年度最热新歌总结,753万,https://music.163.com/playlist?id=4920881606
超好听的翻唱+原唱（高潮片段）,3284万,https://music.163.com/playlist?id=4911936032
爱上你我总在学会,4003万,https://music.163.com/playlist?id=3129764102
好听到可以单曲循环鸭,984万,https://music.163.com/playlist?id=4911688870
伤感片段｜我才不要做你的共同好友,825万,https://music.163.com/playlist?id=5026471288
以 丧 治 丧,1009万,https://music.163.com/playlist?id=4895644161
伤感片段：听完这些歌就把你忘了,926万,https://music.163.com/playlist?id=4871935637
伤感（片段）☹︎,3074万,https://music.163.com/playlist?id=3194482794
超好听的高潮翻唱呀,4644万,https://music.163.com/playlist?id=3175286632
温律酿情，情歌不必撕心裂肺,1184万,https://music.163.com/playlist?id=3222560891
【实时更新】2020年最热门的50首歌曲,729万,https://music.163.com/playlist?id=3220130759
2020上半年度最热新歌TOP50,887万,https://music.163.com/playlist?id=5069871738
柔软思绪 | 躺在旋律的天鹅绒上放空,582万,https://music.163.com/playlist?id=5091195937
生命里的每一分美好馈赠，都值得感激,1169万,https://music.163.com/playlist?id=4910237102
2020年七月最热新歌TOP50,936万,https://music.163.com/playlist?id=5154575129
好好去爱这个世界 因为你值得,618万,https://music.163.com/playlist?id=5146191146
「中文咚鼓」热播·上头曲,531万,https://music.163.com/playlist?id=3180234978
2020年三月最热新歌TOP50,1018万,https://music.163.com/playlist?id=4945833381
私人雷达 | 根据听歌记录为你打造,192344万,https://music.163.com/playlist?id=3136952023
乘风破浪的姐姐们唱歌是一种怎样的体验呢？,1345万,https://music.163.com/playlist?id=5005063689
青春的记忆|九十年代最好听的100首歌,717万,https://music.163.com/playlist?id=4887974807
