品名,价格
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,4799.00
Redmi 9A 5000mAh大电量 大屏幕大字体大音量 1300万AI相机 八核处理器 人脸解锁 4GB+64GB 砂石黑 游戏智能手机 小米 红米,599.00
"京品手机	
realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 冲浪蓝孩 6GB+128GB 30W闪充 手机 OPPO提供售后支持",1299.00
Redmi Note 9 5G 天玑800U  18W快充 4800万超清三摄 云墨灰 6GB+128GB 游戏智能手机 小米 红米,1299.00
OPPO Reno5 5G 6400万水光人像四摄 65W超级闪充  12+256GB 星河入梦 全网通手机,2999.00
Redmi Note 9 Pro 5G 一亿像素 骁龙750G 33W快充 120Hz刷新率 碧海星辰 8GB+256GB 游戏智能手机 小米 红米,1999.00
小辣椒 红辣椒8X Pro 6GB+128GB 极光蓝 6.2英寸水滴屏 微信8开 人脸识别 游戏手机 全网通4G 双卡双待,649.00
Apple iPhone 12 (A2404) 128GB 绿色 支持移动联通电信5G 双卡双待手机,6799.00
Redmi K30 5G双模 120Hz流速屏 骁龙765G 前置挖孔双摄 索尼6400万后置四摄 30W快充 6GB+128GB 紫玉幻境 游戏智能手机 小米 红米,1599.00
vivo iQOO 7 12GB+256GB 传奇版 骁龙888 120W超快闪充 KPL官方赛事电竞手机 双模5G全网通vivoiqoo7,4198.00
Redmi Note 9 4G 6000mAh大电池 骁龙662处理器  18W快充 烟波蓝 6GB+128GB 游戏智能手机 小米 红米,1099.00
realme 真我V15 6400万像素 50W智慧闪充 仅179g 锦鲤色 6GB+128GB 双5g游戏手机,1499.00
AGM H2三防智能手机4G全网通防摔防水老人机移动联通电信大声音大字体超长待机老人手机 红黑 4G+128G,1199.00
Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机,10099.00
Redmi K30S 至尊纪念版 双模5G 骁龙865 144HzLCD旗舰屏幕 8GB+256GB 星际黑 游戏手机 小米 红米,2799.00
Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 6GB+128GB 深海蓝 游戏智能老人手机 小米 红米,1399.00
"京品手机	
OPPO Ace2 8+128 月岩灰 高通骁龙865 双模5G 185g超薄机身 65W超级闪充 40W无线闪充 90Hz电竞屏",2899.00
OPPO K7x 双模5G 4800万四摄 5000mAh长续航 90Hz电竞屏 蓝影 6GB+128GB 30W闪充 全网通游戏智能手机,1499.00
海信（Hisense）A7 阅读手机A7 6.7英寸水墨屏 电纸书阅读器 6GB+128GB 全网通5G手机 曜石黑,1999.00
【赠卡首月免月租】Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待手机,6799.00
一加手机 OnePlus 8T 5G旗舰 120Hz柔性直屏 65W闪充 高通骁龙865 超清四摄 12GB+256GB 青域 拍照游戏手机,3699.00
realme 真我Q2 Pro 4800万四摄 65W智慧闪充 仅175g超轻超薄 C位色 8GB+128GB  双5g游戏手机,1599.00
小米11 5G 骁龙888 2K AMOLED四曲面柔性屏 1亿像素 55W有线闪充 50W无线闪充 12GB+256GB 黑色 游戏手机,4699.00
vivo iQOO Neo3 5G 8GB+128GB 极昼 高通骁龙865 144Hz竞速屏 立体双扬 44W闪充 双模5G全网通手机,2998.00
新款小黄蜂锋芒Pro全网通4G智能手机8+128八核高清水滴大屏人脸指纹识别学生游戏老人机双卡双待 天晴蓝 6+128G,599.00
荣耀Play4T Pro 麒麟810芯片 OLED屏幕指纹 4800万高感光夜拍三摄 22.5W超级快充 全网通8GB+128GB 冰岛幻境,1788.00
realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 学生潮玩手机 银翼少年 6GB+128GB 官方标配,1399.00
Redmi 9 全场景AI四摄 高性能游戏芯 4GB+64GB 碳素黑 游戏智能手机 小米 红米,799.00
vivo iQOO U1x 6GB+64GB 曜光黑 5000mAh大电池 骁龙662处理器 AI全场景三摄 全网通大屏拍照手机iqoou1x,999.00
vivo iQOO 7 双模5G 骁龙888 120W超快闪充 120Hz全感屏 电竞游戏智能手机 传奇 12GB 256GB,4198.00
