品名,一级目录,二级目录,三级目录,四级目录,品牌,价格,单位,商品型号,订货编码,规格参数
STANLEY/史丹利 工具包组套（7件） 90-596N-23 7件 1套,手工具,工具组套,组套工具包,通用类组套工具包,STANLEY/史丹利,169.6,套,90-596N-23,AF0701,件数:7 包装:拉链包
"GEDORE/吉多瑞 CT模块,空 EI-1500 CT1-8000 L 1套",手工具,工具组套,组套工具托,EXPERT工具托组套,GEDORE/吉多瑞,280.9,套,EI-1500 CT1-8000 L,FU0303,
SHEFFIELD/钢盾 电脑维修包组套（15件） S033004 15件 1套,手工具,工具组套,组套工具包,电子类组套工具包,SHEFFIELD/钢盾,279.0,套,S033004,AE8061,件数:15 包装:拉链包 长度:-
JETECH/捷科 电子维修工具套装（61件） JEB-E61 1套,手工具,工具组套,组套工具箱,电子类组套工具吹塑箱,JETECH/捷科,450.0,套,JEB-E61,CR4651,件数:61 包装:吹塑盒 长度:495mm 宽度:325mm 高度:213mm
STANLEY/史丹利 工具托-6.3×10MM系列公制工具组套（36件） LT-023-23 36件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,729.0,套,LT-023-23,AF1377,件数:36 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
YATO/易尔拓 EVA家用工具包组套（8件） YT-3906 8件 265×160×60mm 1套,手工具,工具组套,组套工具包,通用类组套工具包,YATO/易尔拓,250.2,套,YT-3906,AF3096,件数:8 包装:拉链包
JETECH/捷科 230件工具车整车配套 RC-230S 1套,手工具,工具组套,组套工具车,通用类组套工具车,JETECH/捷科,4760.0,套,RC-230S,MM2398,件数:230 长度:680mm 宽度:460mm 高度:700mm
STANLEY/史丹利 工具托-专业级绝缘工具组套（11件） LT-012-23 11件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,668.8,套,LT-012-23,AF1366,件数:11 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
STANLEY/史丹利 工具托-强力型螺丝批托盘组套 STMT74181-8-23 8件 塑托盘 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,124.9,套,STMT74181-8-23,CE8686,件数:8 包装:托盘 长度:386mm 宽度:188mm 高度:48mm
STANLEY/史丹利 工具托-公制紧固工具组套（19件） LT-029-23 19件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,308.9,套,LT-029-23,AF1383,件数:19 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
STANLEY/史丹利 工具托-6.3×10×12.5MM系列公制工具组套（34件） LT-026-23 34件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,739.0,套,LT-026-23,AF1380,件数:34 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
STANLEY/史丹利 工具托-6.3MM系列公制工具组套（43件） LT-021-23 43件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,609.0,套,LT-021-23,AF1375,件数:43 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
STANLEY/史丹利 工具托-10×12.5MM系列公制工具组套（27件） LT-025-23 27件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,679.0,套,LT-025-23,AF1379,件数:27 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
JETECH/捷科 家用工具套装（10件） JEB-F10 1套,手工具,工具组套,组套工具箱,通用类组套工具吹塑箱,JETECH/捷科,146.9,套,JEB-F10,CR4641,件数:10 包装:吹塑盒 长度:485mm 宽度:325mm 高度:315mm
JETECH/捷科 便携式工具包（8件） JEP-F8 1套,手工具,工具组套,组套工具包,通用类组套工具包,JETECH/捷科,136.0,套,JEP-F8,CR4657,件数:8 包装:拉链包 长度:645mm 宽度:385mm 高度:275mm
SHEFFIELD/钢盾 快修店专用套装 S010064 64件 1套,手工具,工具组套,组套工具箱,车辆维修类组套工具吹塑箱,SHEFFIELD/钢盾,689.0,套,S010064,AE7336,件数:64 包装:吹塑箱
YATO/易尔拓 机工组套 YT-38881 129件 4-32mm 1套,手工具,工具组套,组套工具箱,机修保养类组套工具吹塑箱,YATO/易尔拓,1926.0,套,YT-38881,AR9674,件数:129 包装:吹塑箱
SHEFFIELD/钢盾 工具托-双开口扳手组合（12件） S025024 12件 1套,手工具,工具组套,组套工具托,钢盾工具托组套,SHEFFIELD/钢盾,278.9,套,S025024,AE8030,件数:12 包装:塑托盘
YATO/易尔拓 高档电讯组套 YT-39008 22件 310×230×55mm 1套,手工具,工具组套,组套工具包,通用类组套工具包,YATO/易尔拓,419.4,套,YT-39008,AR8476,件数:22 包装:拉链包
CHANGLU/长鹿 12件家用组套工具 104612 12件 1套,手工具,工具组套,组套工具盒,通用类组套工具塑盒,CHANGLU/长鹿,139.0,套,104612,PF5964,件数:12 包装:塑盒
SATA/世达 快修店专用组套 SATA-09509 56件(吹塑箱) 1套,手工具,工具组套,组套工具箱,车辆维修类组套工具吹塑箱,SATA/世达,579.0,套,SATA-09509,AE5118,件数:56 包装:吹塑箱 长度:440mm 宽度:286mm 高度:80mm
WORKPRO/万克宝 63件套专业电讯工具组套 W2163.GD 1套,手工具,工具组套,组套工具箱,通用类组套工具吹塑箱,WORKPRO/万克宝,588.0,套,W2163.GD,RE5865,件数:63 包装:塑盒
SATA/世达 汽车维修综合组套 SATA-09014G 6.3×10×12.5mm 128件 1套,手工具,工具组套,组套工具箱,车辆维修类组套工具吹塑箱,SATA/世达,1698.0,套,SATA-09014G,CQ1771,件数:128 包装:塑盒 长度:540mm 宽度:340mm 高度:100mm
STANLEY/史丹利 工具托-三色柄螺丝批工具组套（11件） LT-011-23 11件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,412.9,套,LT-011-23,AF1365,件数:11 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
OK-TOOLS/卡夫威尔 56件套电讯工具箱 H13036A 电子电工工具箱 1套,手工具,工具组套,组套工具箱,电讯类组套工具吹塑箱,OK-TOOLS/卡夫威尔,399.0,套,H13036A,TY8391,件数:56 包装:1套/箱 长度:535mm 宽度:115mm 高度:355mm
OK-TOOLS/卡夫威尔 家用工具箱 H4001A 129件套 1套,手工具,工具组套,组套工具箱,通用类组套工具吹塑箱,OK-TOOLS/卡夫威尔,99.0,套,H4001A,UG2245,件数:129 包装:彩盒 长度:330mm 宽度:250mm 高度:63mm
STANLEY/史丹利 120件套综合性组套 91-931-1-22 1套,手工具,工具组套,组套工具盒,机修保养类组套工具铁盒,STANLEY/史丹利,1035.65,套,91-931-1-22,AA1293570,件数:120
FIXMAN/菲克斯曼 内六角组套(平头特长) D2308 9件 1套,手工具,工具组套,组套工具包,物业维修类组套工具包,FIXMAN/菲克斯曼,43.2,套,D2308,AA0890773,件数:9 包装:双泡壳
STANLEY/史丹利 工具托-切割修整工具组套（8件） LT-015-23 8件 1套,手工具,工具组套,组套工具托,史丹利工具托组套,STANLEY/史丹利,280.9,套,LT-015-23,AF1369,件数:8 包装:塑托盘 长度:375mm 宽度:278mm 高度:45mm
